user_id,source_type,date,package_name,app_name,category,usage_minutes,night_minutes,open_count,notification_count,personal_goal_minutes,first_open_time,last_time_used,captured_at
synthetic_user_001,synthetic,2026-01-01,com.google.android.youtube,YouTube,video,78.66,21.01,11,0,330,1767279600000,1767284319396,1767366000000
synthetic_user_001,synthetic,2026-01-01,com.instagram.android,Instagram,sns,64.37,14.19,11,26,330,1767304800000,1767308662499,1767391200000
synthetic_user_001,synthetic,2026-01-01,com.kakao.talk,KakaoTalk,sns,48.43,11.89,7,12,330,1767254400000,1767257305738,1767340800000
synthetic_user_001,synthetic,2026-01-01,com.android.chrome,Chrome,browser,27.09,6.76,4,0,330,1767279600000,1767281225431,1767366000000
synthetic_user_001,synthetic,2026-01-01,com.notion.id,Notion,productivity,35.81,0.81,4,7,330,1767276000000,1767278148762,1767362400000
synthetic_user_001,synthetic,2026-01-01,com.example.game,Puzzle Game,game,41.22,9.14,5,0,330,1767250800000,1767253273300,1767337200000
synthetic_user_001,synthetic,2026-01-01,com.google.android.gm,Gmail,productivity,20.23,3.27,4,3,330,1767268800000,1767270013868,1767355200000
synthetic_user_001,synthetic,2026-01-02,com.google.android.youtube,YouTube,video,109.06,37.87,9,5,330,1767348000000,1767354543426,1767434400000
synthetic_user_001,synthetic,2026-01-02,com.instagram.android,Instagram,sns,57.39,14.7,9,22,330,1767373200000,1767376643610,1767459600000
synthetic_user_001,synthetic,2026-01-02,com.kakao.talk,KakaoTalk,sns,47.83,11.75,7,11,330,1767344400000,1767347269667,1767430800000
synthetic_user_001,synthetic,2026-01-02,com.android.chrome,Chrome,browser,30.36,1.76,4,6,330,1767362400000,1767364221797,1767448800000
synthetic_user_001,synthetic,2026-01-02,com.notion.id,Notion,productivity,34.54,0.0,5,8,330,1767373200000,1767375272483,1767459600000
synthetic_user_001,synthetic,2026-01-02,com.example.game,Puzzle Game,game,43.37,10.98,9,6,330,1767351600000,1767354202249,1767438000000
synthetic_user_001,synthetic,2026-01-02,com.google.android.gm,Gmail,productivity,17.92,0.0,6,8,330,1767358800000,1767359875294,1767445200000
synthetic_user_001,synthetic,2026-01-03,com.google.android.youtube,YouTube,video,131.81,40.47,15,5,330,1767445200000,1767453108649,1767531600000
synthetic_user_001,synthetic,2026-01-03,com.instagram.android,Instagram,sns,71.34,15.67,12,27,330,1767470400000,1767474680403,1767556800000
synthetic_user_001,synthetic,2026-01-03,com.kakao.talk,KakaoTalk,sns,50.46,12.16,11,26,330,1767430800000,1767433827602,1767517200000
synthetic_user_001,synthetic,2026-01-03,com.android.chrome,Chrome,browser,36.87,4.11,4,0,330,1767445200000,1767447412362,1767531600000
synthetic_user_001,synthetic,2026-01-03,com.notion.id,Notion,productivity,12.46,2.1,2,6,330,1767438000000,1767438747585,1767524400000
synthetic_user_001,synthetic,2026-01-03,com.example.game,Puzzle Game,game,84.92,11.55,12,4,330,1767466800000,1767471894906,1767553200000
synthetic_user_001,synthetic,2026-01-03,com.google.android.gm,Gmail,productivity,18.48,0.0,5,5,330,1767448800000,1767449908532,1767535200000
synthetic_user_001,synthetic,2026-01-04,com.google.android.youtube,YouTube,video,124.39,37.69,17,12,330,1767556800000,1767564263433,1767643200000
synthetic_user_001,synthetic,2026-01-04,com.instagram.android,Instagram,sns,75.06,13.92,11,28,330,1767520800000,1767525303520,1767607200000
synthetic_user_001,synthetic,2026-01-04,com.kakao.talk,KakaoTalk,sns,55.48,19.17,6,10,330,1767528000000,1767531329026,1767614400000
synthetic_user_001,synthetic,2026-01-04,com.android.chrome,Chrome,browser,37.04,0.0,5,0,330,1767531600000,1767533822650,1767618000000
synthetic_user_001,synthetic,2026-01-04,com.notion.id,Notion,productivity,19.01,4.11,10,15,330,1767535200000,1767536340814,1767621600000
synthetic_user_001,synthetic,2026-01-04,com.example.game,Puzzle Game,game,72.48,4.52,10,3,330,1767556800000,1767561148819,1767643200000
synthetic_user_001,synthetic,2026-01-04,com.google.android.gm,Gmail,productivity,13.57,4.81,2,0,330,1767535200000,1767536014202,1767621600000
synthetic_user_001,synthetic,2026-01-05,com.google.android.youtube,YouTube,video,54.9,15.62,10,9,330,1767650400000,1767653694228,1767736800000
synthetic_user_001,synthetic,2026-01-05,com.instagram.android,Instagram,sns,71.9,15.26,10,19,330,1767639600000,1767643913886,1767726000000
synthetic_user_001,synthetic,2026-01-05,com.kakao.talk,KakaoTalk,sns,56.64,10.31,5,13,330,1767632400000,1767635798465,1767718800000
synthetic_user_001,synthetic,2026-01-05,com.android.chrome,Chrome,browser,31.2,3.58,5,0,330,1767610800000,1767612671880,1767697200000
synthetic_user_001,synthetic,2026-01-05,com.notion.id,Notion,productivity,23.57,0.0,7,10,330,1767607200000,1767608614318,1767693600000
synthetic_user_001,synthetic,2026-01-05,com.example.game,Puzzle Game,game,40.31,12.48,5,5,330,1767646800000,1767649218476,1767733200000
synthetic_user_001,synthetic,2026-01-05,com.google.android.gm,Gmail,productivity,26.44,7.2,3,0,330,1767596400000,1767597986626,1767682800000
synthetic_user_001,synthetic,2026-01-06,com.google.android.youtube,YouTube,video,95.68,29.9,20,5,330,1767686400000,1767692141039,1767772800000
synthetic_user_001,synthetic,2026-01-06,com.instagram.android,Instagram,sns,55.38,15.86,6,12,330,1767733200000,1767736522584,1767819600000
synthetic_user_001,synthetic,2026-01-06,com.kakao.talk,KakaoTalk,sns,52.26,12.9,3,6,330,1767682800000,1767685935449,1767769200000
synthetic_user_001,synthetic,2026-01-06,com.android.chrome,Chrome,browser,27.68,0.0,5,4,330,1767686400000,1767688060959,1767772800000
synthetic_user_001,synthetic,2026-01-06,com.notion.id,Notion,productivity,29.85,0.0,8,12,330,1767722400000,1767724191189,1767808800000
synthetic_user_001,synthetic,2026-01-06,com.example.game,Puzzle Game,game,47.88,8.0,5,2,330,1767690000000,1767692872755,1767776400000
synthetic_user_001,synthetic,2026-01-06,com.google.android.gm,Gmail,productivity,18.88,1.12,9,18,330,1767718800000,1767719932683,1767805200000
synthetic_user_001,synthetic,2026-01-07,com.google.android.youtube,YouTube,video,64.76,19.57,8,4,330,1767805200000,1767809085664,1767891600000
synthetic_user_001,synthetic,2026-01-07,com.instagram.android,Instagram,sns,56.83,11.02,10,18,330,1767772800000,1767776210043,1767859200000
synthetic_user_001,synthetic,2026-01-07,com.kakao.talk,KakaoTalk,sns,40.48,6.21,2,0,330,1767798000000,1767800428860,1767884400000
